,title,pitchfork,bnm,year,artist,genre,fantano,_merge
2421,xe,8.0,0.0,2015.0,zs,jazz,8.0,both
2443,viet cong,8.5,1.0,2015.0,viet cong,rock,7.0,both
2444,tetsuo & youth,7.2,0.0,2015.0,lupe fiasco,rap,7.0,both
2448,girls in peacetime want to dance,6.6,0.0,2015.0,belle and sebastian,rock,6.0,both
2453,no cities to love,8.7,1.0,2015.0,sleater-kinney,rock,7.0,both
2476,fashion week,6.6,0.0,2015.0,death grips,rap,7.0,both
2477,fashion week,6.6,0.0,2015.0,death grips,experimental,7.0,both
2481,panda bear meets the grim reaper,8.7,1.0,2015.0,panda bear,electronic,4.0,both
2493,2014 forest hills drive,6.9,0.0,2014.0,j. cole,rap,6.0,both
2495,ferg forever,6.4,0.0,2014.0,a$ap ferg,rap,7.0,both
2498,36 seasons,6.0,0.0,2014.0,ghostface killah,rap,5.0,both
2515,the church,4.9,0.0,2014.0,mr. oizo,electronic,7.0,both
2520,a better tomorrow,5.9,0.0,2014.0,wu-tang clan,rap,6.0,both
2521,cadillactica,7.5,0.0,2014.0,big k.r.i.t.,rap,6.0,both
2522,cadillactica,7.5,0.0,2014.0,big k.r.i.t.,pop/r&b,6.0,both
2527,full of hell & merzbow,5.5,0.0,2014.0,full of hell,metal,8.0,both
2528,full of hell & merzbow,5.5,0.0,2014.0,full of hell,experimental,8.0,both
2548,faith in strangers,8.4,1.0,2014.0,andy stott,electronic,7.0,both
2566,pom pom,8.8,1.0,2014.0,ariel pink,rock,9.0,both
2571,black metal,7.3,0.0,2014.0,dean blunt,,8.0,both
2572,blue,6.1,0.0,2014.0,iamamiwhoami,rock,6.0,both
2573,blue,6.1,0.0,2014.0,iamamiwhoami,electronic,6.0,both
2580,the endless river,5.7,0.0,2014.0,pink floyd,rock,6.0,both
2591,broke with expensive taste,8.0,0.0,2014.0,azealia banks,rap,5.0,both
2595,sonic highways,5.6,0.0,2014.0,foo fighters,rock,5.0,both
2600,clark,8.3,1.0,2014.0,clark,electronic,6.0,both
2601,la isla bonita,7.6,0.0,2014.0,deerhoof,rock,7.0,both
2602,la isla bonita,7.6,0.0,2014.0,deerhoof,experimental,7.0,both
